absence_id,employee_id,annee,mois,date_debut,date_fin,nb_jours,motif,justifiee,departement
13323,2879,2022,1,2022-01-19,2022-01-26,8,Congé payé,Oui,Finance
15714,2012,2023,5,2023-05-02,2023-05-07,6,Maladie,Oui,R&D
10557,1177,2023,5,2023-05-12,2023-05-28,17,Absence injustifiée,Non,RH
11946,2445,2023,8,2023-08-27,2023-08-28,2,Maladie,Oui,Logistique
12442,1496,2024,8,2024-08-25,2024-09-10,17,sick leave,Oui,Finance
12101,1881,2023,2,2023-02-19,2023-02-19,1,Absence injustifiée,Non,Direction
13097,2354,2022,12,2022-12-15,2022-12-26,12,paid leave,Oui,Marketing
14794,2061,2023,3,2023-03-25,2023-04-05,12,Accident du travail,Oui,Direction
11482,2981,2024,6,2024-06-08,2024-06-22,15,Congé payé,Oui,Marketing
15241,1412,2024,7,2024-07-17,2024-08-06,21,Maladie,Oui,Opérations
12612,1735,2022,12,2022-12-28,2023-01-13,17,Maternité/Paternité,Oui,Juridique
14986,1191,2024,6,2024-06-11,2024-06-11,1,Congé sans solde,Oui,R&D
15826,2040,2023,12,2023-12-03,2023-12-03,1,Maladie,Oui,Opérations
11499,2060,2022,6,2022-06-02,2022-06-16,15,RTT,Oui,Logistique
14813,2977,2024,2,2024-02-07,2024-02-08,2,Congé payé,Oui,Commercial
13647,2010,2024,11,2024-11-21,2024-12-01,11,Accident du travail,Oui,Informatique
11666,2404,2024,7,2024-07-10,2024-07-14,5,Maladie,Oui,R&D
10702,1127,2024,7,2024-07-20,2024-07-30,11,Absence injustifiée,Non,Marketing
13493,1266,2023,3,2023-03-27,2023-04-03,8,Formation,Oui,RH
13507,1212,2024,5,2024-05-18,2024-05-24,7,Maladie,Oui,R&D
12463,2469,2023,1,2023-01-23,2023-02-05,14,Accident du travail,Oui,Logistique
14400,1232,2022,9,2022-09-04,2022-09-08,5,Maternité/Paternité,Oui,Marketing
10163,2196,2023,7,2023-07-28,2023-07-29,2,Congé payé,Oui,Commercial
14671,2813,2022,6,2022-06-18,2022-06-19,2,sick leave,Oui,Finance
10331,3139,2024,10,2024-10-20,2024-10-31,12,Maternité/Paternité,Oui,Finance
10812,1402,2023,10,2023-10-06,2023-10-13,8,Maladie,Oui,Logistique
14618,3394,2022,2,2022-02-14,2022-02-14,1,Maternité/Paternité,Oui,Commercial
12615,2488,2024,12,2024-12-24,2024-12-24,1,sick leave,Oui,Finance
13876,3287,2022,11,2022-11-25,2022-12-01,7,Congé payé,Oui,Commercial
14836,1880,2023,2,2023-02-11,2023-02-20,10,Congé payé,Oui,Operations
10216,1402,2024,10,2024-10-15,2024-10-19,5,Enfant malade,Oui,Logistique
13280,1177,2024,11,2024-11-16,2024-11-25,10,RTT,Oui,RH
13047,1393,2023,1,2023-01-24,2023-01-29,6,RTT,Oui,Logistique
10985,1068,2023,3,2023-03-17,2023-03-22,6,Congé payé,Oui,Commercial
15110,2502,2024,8,2024-08-16,2024-08-23,8,Absence injustifiée,Non,RH
12785,2189,2024,12,2024-12-01,2024-12-01,1,Congé payé,Oui,RH
11207,3239,2023,3,2023-03-15,2023-03-21,7,Formation,Oui,Finance
15313,2865,2022,6,2022-06-25,2022-07-11,17,Accident du travail,Oui,Marketing
13631,2012,2023,10,2023-10-12,2023-10-27,16,Congé payé,Oui,R&D
12297,3264,2024,8,2024-08-09,2024-08-23,15,Congé payé,Oui,R&D
11838,2574,2022,11,2022-11-25,2022-12-14,20,RTT,Oui,Juridique
12468,2485,2024,4,2024-04-22,2024-04-29,8,paid leave,Oui,R&D
11700,1752,2022,3,2022-03-07,2022-03-14,8,Maladie,Oui,Juridique
16019,1966,2022,3,2022-03-23,2022-04-05,14,Maladie,Oui,Logistique
12384,1743,2022,9,2022-09-25,2022-09-28,4,Maladie,Oui,Marketing
11810,1721,2022,6,2022-06-08,2022-06-16,9,Congé payé,Oui,Juridique
13707,2235,2023,4,2023-04-19,2023-05-04,16,Maternité/Paternité,Oui,Informatique
12531,1877,2022,11,2022-11-13,2022-11-25,13,paid leave,Oui,R&D
11157,2344,2022,3,2022-03-01,2022-03-18,18,Congé payé,Oui,R&D
12764,3274,2023,6,2023-06-28,2023-07-14,17,Congé sans solde,Oui,Marketing
11697,1501,2024,12,2024-12-24,2025-01-13,21,Maladie,Oui,R&D
12978,1070,2024,12,2024-12-06,2024-12-15,10,Maladie,Oui,Opérations
13018,2155,2022,7,2022-07-03,2022-07-15,13,Maladie,Oui,Informatique
15119,1301,2024,11,2024-11-13,2024-11-17,5,Formation,Oui,Commercial
14487,3204,2024,1,2024-01-28,2024-02-16,20,RTT,Oui,Direction
15520,1155,2022,7,2022-07-18,2022-07-25,8,Maladie,Oui,Direction
10868,3024,2023,1,2023-01-02,2023-01-19,18,Formation,Oui,RH
13530,1333,2024,7,2024-07-20,2024-07-27,8,RTT,Oui,R&D
10173,2317,2023,12,2023-12-20,2023-12-26,7,Congé payé,Oui,Opérations
