depart_id,employee_id,date_depart,motif_depart,duree_preavis_jours,anciennete_au_depart,departement,contrat,entretien_sortie,satisfaction_score,recommanderait_employeur,poste_pourvu
5000,3153,2016-05-13,,0,-0.7,Direction,CDD,Non,,Non,Oui
5001,2343,2022-10-24,,90,-0.4,Marketing,CDI,Non,,Oui,Oui
5002,2765,2017-03-05,,90,-0.3,RH,CDI,Non,3,Non,Non
5003,1416,2024-01-15,,0,-0.3,R&D,Alternance,Non,4,,
5004,2165,2023-01-18,,90,-0.9,RH,Alternance,Non,,Oui,
5005,1631,2017-10-12,,30,-0.2,Opérations,Stage,Non,,,
5006,2574,2023-10-21,,60,-0.5,Juridique,Stage,Non,4,Oui,Non
5007,2743,2020-07-25,,30,-0.9,Opérations,CDI,Non,2,,
5008,2016,2023-07-03,,30,-0.7,RH,CDD,Oui,3,,Oui
5009,3056,2017-02-26,,60,-0.3,Marketing,CDD,Non,,Oui,Non
5010,2909,2017-06-03,,90,-0.3,RH,CDI,Oui,4,,En cours
5011,2448,2020-05-24,,90,-0.8,Logistique,CDD,Non,5,Oui,
5012,1117,2023-04-06,,60,-0.7,Marketing,CDI,Non,3,,Non
5013,3028,2024-02-20,,60,-0.4,Finance,CDI,Non,2,Non,Non
5014,2036,2024-05-17,,90,-0.2,Informatique,CDI,Oui,,Non,En cours
5015,2502,2020-04-23,,90,-0.5,RH,CDI,Non,2,,Non
5016,3204,2016-02-05,,30,-0.9,Direction,CDI,Non,4,Non,
5017,2406,2021-06-09,,30,-0.2,Finance,Alternance,Non,,,Non
5018,1966,2016-08-25,Licenciement économique,30,-0.9,Logistique,CDI,Oui,,,En cours
5019,1335,2017-06-13,Licenciement économique,30,-0.2,Sales,CDI,Non,4,Non,Oui
5020,3274,2022-03-08,Démission,60,-0.2,Marketing,CDI,Oui,4,,
5021,2016,2023-06-10,Licenciement,0,-0.8,RH,CDD,Oui,2,,Oui
5022,1124,2016-10-17,Mutation,60,1.6,Finance,CDI,Non,3,Non,Oui
5023,2510,2024-12-31,Démission,90,0.8,Marketing,CDI,Oui,5,Oui,
5024,1068,2024-07-15,Fin de contrat,30,2.0,Commercial,CDD,Non,4,,Oui
5025,3204,2018-05-02,Mutation,30,1.3,Direction,CDI,Oui,3,Oui,Oui
5026,2977,2024-12-31,Rupture conventionnelle,30,3.3,Commercial,CDI,Non,,Oui,En cours
5027,1754,2024-08-10,Période d'essai non concluante,30,1.0,Finance,Alternance,Non,4,Oui,
5028,1374,2021-11-12,Licenciement économique,60,5.9,Marketing,CDI,Oui,4,,Non
5029,3029,2019-07-28,Démission,90,1.1,Commercial,CDI,Oui,,Oui,
5030,2556,2020-12-16,Démission,30,4.0,Direction,CDI,Oui,,Oui,
5031,1927,2020-10-30,Démission,90,5.0,Informatique,CDD,Non,,,En cours
5032,3264,2020-07-22,Rupture conventionnelle,30,3.6,R&D,CDD,Non,2,Oui,Non
5033,1128,2022-04-02,Démission,30,0.6,Direction,CDD,Oui,3,Oui,Oui
